what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391159258682
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391159360072
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391159416242
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391159426143
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1391159426267
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1391159440865
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1391159440869
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1391159441230
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1391159441307
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1391159441475
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1391159441478
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1391159441538
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1391159441561
opened,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1391159441962
started,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1391159442002
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1391159442108
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1391159442145
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1391159442194
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1391159442287
opened,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1391159445132
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1391159445228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391159449300
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391159450201
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391159454069
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391159460419
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1391159461221
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391159461743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391159466016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391159469074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391159469077
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391159469084
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391159469088
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391159519377
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391159524310
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391159535629
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391159536050
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391159536658
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391159536660
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391159536668
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391159538131
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391159549141
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391159550283
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391159551662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391159551663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391159551667
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391159551669
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391159561108
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391159565418
activated,view,com.android.ide.eclipse.ddms,22.3.0.v201310242005-887826,"com.android.ide.eclipse.ddms.views.LogCatView",1391159573231
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391159587018
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1391159587324
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1391159590591
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391159590721
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1391159590748
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391159591467
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391159593541
activated,view,com.android.ide.eclipse.ddms,22.3.0.v201310242005-887826,"com.android.ide.eclipse.ddms.views.LogCatView",1391159594044
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391159594818
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391159594859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391159597644
activated,view,com.android.ide.eclipse.ddms,22.3.0.v201310242005-887826,"com.android.ide.eclipse.ddms.views.LogCatView",1391159599035
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391159600006
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391159600029
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391159619008
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1391159619120
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391159620700
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391159621805
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391159621806
